name,data1,data2,data3
Elka Balbeck,22,353,149
Rosanna Valsler,272,455,219
Fredelia Humpherson,13,333,364
Arlin Abrahamoff,9,328,315
Tedi Romao,290,370,222
Zachery Leckenby,424,281,105
Christian Dorie,384,346,268
Zelma Trebbett,442,331,151
Martin Curl,382,564,347
Ermina Agirre,450,447,145
Koren De Biasio,25,566,197
Keely Orkney,177,434,249
Letty Basley,92,437,228
Calida Antunes,3,579,101
Julia Toolan,37,300,337
Gianna Jeandon,60,322,142
Terrie Bendelow,234,366,106
Torrin Beagin,210,462,233
Ahmad Prevett,395,329,359
Ring Matushevich,54,390,377
Matilda Brayson,344,463,380
Basilius Isson,111,391,296
Dewie Belton,142,434,387
Nicko Stocks,345,501,383
Lianne Jerschke,475,321,353
Archy Corain,76,265,270
Pollyanna Cheeke,288,503,155
Elmer McLay,318,446,137
Walker Brettelle,413,533,357
Diane-marie Pervew,412,480,316
Sutton McKennan,188,540,311
Sharyl Hacquoil,405,406,255
Cristian Winspeare,202,451,399
Hanan Sertin,89,414,341
Leonid Murrow,81,252,301
Josselyn Essame,310,344,227
Idette Yeates,327,319,162
Erich Clewett,18,273,399
Park Rowlands,214,338,284
Jarid Croan,291,369,246
Nanci Kaser,429,489,333
Maris Beacom,178,359,204
Jacinda Chastand,447,451,387
Selena Sorrell,134,405,313
Lesli Boick,29,476,192
Hazlett MacComiskey,325,356,178
Hayyim Cuxon,130,502,191
Grethel Lilion,119,459,116
Dallis Roseaman,27,287,119
Gavin Weekly,20,494,127
Ase Habron,457,428,365
Arline Coomes,271,529,114
Gwendolyn Mayworth,145,595,139
Filmore Lidierth,488,522,104
Danna Moyler,191,543,237
Dur Skoate,62,252,152
Ula Nudd,191,320,352
Nana McKeag,444,521,187
Ted Saddington,75,403,163
Florian Nials,476,431,370
Rosie Ferrara,434,317,262
Robina Constance,442,411,110
Terra Liggons,257,488,161
Mariquilla Briscoe,293,492,299
Marietta Hartrick,263,365,343
Carmelia Capstack,178,415,325
Nichols O'Leary,221,327,376
Neal Nathan,160,452,352
Lennie Layburn,1,425,198
Odilia MacNeilley,405,334,295
Andee Jirasek,13,419,129
Brook Dillet,270,290,293
Harvey Phayre,87,340,102
Justine Howley,175,477,276
Kathleen Swane,284,262,355
Krystle Bruhnsen,143,535,102
Neile Rickerby,39,375,130
Rurik Indruch,235,360,180
Coriss Bradly,342,520,127
Correy Winter,412,475,262
Henrietta Rahill,431,478,347
Crista Abrahamsen,4,550,214
Berta Royse,38,336,112
Morris Levey,315,458,212
Sigismundo Gresly,197,268,383
Loretta McGreay,76,359,381
Samaria Kearey,160,505,345
Quintana Tyne,310,311,302
Iseabal Rames,275,482,140
Mord McKelvey,113,507,352
Tessy Dundendale,53,561,259
Sadella Delamar,6,457,140
Wain Benfell,242,379,164
Taylor Cakebread,473,334,281
Loren Ruselin,148,454,180
Lethia Bleas,491,586,389
Jobie Stedson,358,538,331
Sean Robertshaw,265,408,270
Dolorita McIlreavy,297,451,153
Ruddie Willison,63,366,255
Walther O'Hoolahan,118,385,226
Shell Noke,162,473,277
Edita Layson,183,406,315
Ruy Amorine,379,518,271
Elnore Matuszak,369,264,147
Quillan Bye,201,347,184
Adele Abbitt,258,357,195
Thea Saintsbury,104,372,393
Nikolia England,286,320,297
Valencia Anker,360,366,371
Hurlee Stowgill,348,322,110
Horton Steenson,323,451,201
Dionis Keoghan,373,364,136
Kelby Flowers,271,431,253
Marla Broadberrie,414,584,245
Risa Flannigan,251,259,222
Saundra Swafield,225,481,132
Selestina Tewnion,225,582,253
Ingelbert Habbal,116,416,169
Fawn Zanolli,346,280,333
Janka Baggalley,427,454,255
Padraig Tilly,478,486,264
Carina Linder,38,312,355
Bernhard Dingate,326,458,387
Benoit Clere,94,303,166
Cory Filoniere,303,543,330
Emilio Dinzey,431,386,378
Zolly Dallaghan,476,560,294
Meredithe Baynes,144,541,159
Any Graeber,282,448,273
Guinna Dorin,487,381,303
Blondelle Comiskey,376,525,270
Gerrilee Drinkwater,289,484,178
Benjie Fancourt,145,423,101
Janifer Baiss,286,472,283
Lind Langhorne,433,585,261
Isobel Czajka,184,566,105
Lynnell Neild,311,496,199
Halie Leicester,259,421,300
Ange Cashell,137,346,255
Everett Ferreres,419,525,130
Panchito Cookman,308,570,190
Gabriel Duddin,189,263,146
Mort Anstey,133,416,320
Kayle Cuffe,354,531,244
Winn Biddiss,200,541,273
Jennilee Eyes,473,282,392
Tamiko Archell,31,332,400
Tim Embra,345,274,208
Dani Dabling,484,520,298
Saunders Fleischer,165,525,193
Jobey Delany,14,532,119
Elsinore Rising,170,533,273
Agnese Lody,370,306,353
Heather Wimes,265,397,278
Samson Antoniazzi,283,287,114
Richardo Bartlomieczak,52,270,281
Thomasina Bagger,303,383,233
Hank Cotterell,252,347,217
Karole Gatrell,229,563,106
Kevina Hickisson,329,560,397
Rivkah Patinkin,421,412,352
Harli MacEveley,94,598,218
Kattie Salmen,297,368,193
Bronny Eim,438,406,189
Francois Weedenburg,336,503,204
Patrizius Peppard,44,463,205
Lindsy Karpol,334,437,366
Bevan Gowman,293,269,255
Gerhardt Cooper,137,329,301
Jonie Spours,360,600,275
Zola Ramsier,391,338,187
Halsey Ethridge,20,355,232
Deana Goldhill,493,530,198
Maxy Swannell,449,270,311
Cathy Novotni,315,590,214
Emelia Everly,79,268,330
Marge Philps,493,524,260
Alphonso O'Growgane,127,464,188
Gigi Belamy,388,293,163
Tiertza Pearcy,41,388,155
Barclay Jacmard,422,392,360
Donal Rosendall,219,400,292
Eugene Oddy,473,432,187
Jaime Giannazzi,490,433,249
Josee Edmondson,104,595,223
Sileas Orchart,480,594,200
Freddie Coalbran,412,506,343
Donia Rapi,2,513,298
Claybourne Stockey,57,443,237
Dorelle Pond,77,563,397
Rolfe Dittson,102,454,171
Arman Fishbourn,458,486,255
Noemi Bartram,276,552,356
Granthem Gever,413,275,148
Alexis Huncote,481,264,363
Akim Turban,59,593,125
Ransom Daines,454,336,187
Sibbie Brasted,87,583,220
Deeann Banfill,363,526,245
Kesley Vasic,395,551,181
Barri Baytrop,224,378,103
Alfonse Rustan,137,506,313
Tanya Gooderham,24,263,307
Arnaldo Chavez,204,341,260
Hodge Whittet,286,507,245
Spence Gromley,94,392,258
Kimmi Rome,159,570,109
Phylys Chadwyck,499,457,384
Nelle Boichat,105,285,218
Janeen Giddins,263,329,124
Gare Rigden,491,440,391
Paolina Burnard,332,366,327
Catlaina Moulster,54,255,115
Fan Dallin,277,294,293
Bee Hedden,31,258,176
Ham Priestley,235,538,194
Nanete Glasgow,253,453,189
Bone Zorzin,34,298,217
Bondy Rozzell,470,301,175
Charin Hebblewhite,95,491,341
Bradley Swynfen,18,586,323
Colver Delea,3,570,241
Albrecht Biddles,44,269,183
Kristy Russe,124,276,343
Danila Campbell,162,308,277
Erminie Pretti,319,548,288
Dall Stormouth,269,389,221
Rebekkah Spinke,220,548,354
Evie Learmond,69,421,268
Lydie Rittmeyer,109,265,207
Meredeth Piers,53,563,272
Ethelda Pollicote,384,470,158
Nikos Matthewman,307,561,236
Emmalynn Revel,24,289,245
Melloney Pople,398,460,259
Gretel Lyndon,469,576,163
Martita Beeken,48,326,336
Evy Goldthorpe,265,568,357
Roda Bacon,291,501,182
Lyle Tatterton,319,560,229
Verina Romao,431,470,108
Dulcine Fussen,434,584,313
Gale Caswall,305,473,260
Jeanne Enrich,407,571,291
Mehetabel Ioan,444,490,395
Zena Meaders,223,353,393
Ivette Reddington,279,374,376
Loralee Raggitt,90,318,108
Any Bhatia,158,484,377
Cello Lorenzin,342,318,189
Doro Matkovic,345,495,160
Idette Ahmad,401,486,263
Kayne Ransley,73,529,107
Fredericka Stuckley,88,483,263
Ellie Knevit,264,338,305
Constancia Hayth,37,255,338
Ernesta Borsi,284,303,280
Bron Barfitt,442,291,265
Aurea Aickin,206,354,158
Emmi Chichgar,428,295,296
Eran Etheridge,92,451,184
Weber Speariett,13,566,352
Blaire Bussell,397,462,358
Annalise Dandie,263,392,248
Gwenora Lafont,490,454,110
Tobye Dobbyn,310,443,327
Carver Dhennin,343,455,247
Penrod Riccelli,235,595,177
Yule Huffey,259,291,182
Ignazio Leven,378,274,159
Blaire Ropars,1,599,390
Klemens Simoncello,108,477,391
Tillie Wear,263,557,285
Garold Giveen,212,589,128
Elnora Faccini,243,420,114
Horace Wyld,21,280,187
Colby Vurley,54,588,351
Germain Brudenell,139,569,346
Laird McBrearty,479,408,352
Ferris Triggs,49,431,398
Tynan Saint,406,311,101
Sherrie Di Domenico,441,452,281
Gianni Cruces,98,333,352
Ruperto Deedes,421,462,214
Shelley Liddall,412,459,246
Say Linnemann,196,313,295
Prudy Waleworke,461,497,344
Kyla Caldaro,500,522,315
Jamie Kibbye,360,392,308
Park Wooles,36,341,384
Gracia Mallion,430,452,321
Mata Milley,72,575,240
Lisetta Whaites,105,474,285
Ardis Comettoi,124,519,318
Linda Gethings,417,266,318
Marnie Wauchope,351,349,366
Aguistin Tremblot,285,302,400
Delphinia Sallarie,425,477,130
Beniamino Burkett,393,431,278
Idette Nusche,347,307,195
Alma Reace,24,452,356
Celestina Goff,318,285,383
Cyrillus Trill,374,435,118
Darya Twort,328,590,134
Corby Lakeman,217,504,202
Chick Verheijden,327,408,234
Moira Fabry,40,432,104
Merrie Overshott,202,471,129
Amber Swindells,338,360,218
Ardra Postlethwaite,476,402,112
Noell Dommersen,485,501,108
Felicdad Orrill,401,434,183
Sheila-kathryn Salliere,494,286,375
Corabel Temby,60,261,390
Curry Janse,113,565,339
Laina Surpliss,356,461,107
Jojo MacGarvey,291,568,290
Rebecca Lubeck,72,416,339
Arney Wharf,210,516,149
Nollie Mill,450,575,341
Shoshanna Cullivan,491,448,221
Antonin Cocci,234,260,313
Elliot Minnock,333,501,352
Emilia Keir,189,568,174
Johannah Quickenden,212,520,335
Sella Gwioneth,285,257,306
Eddy Cordaroy,356,421,294
Lindie McGrae,383,550,299
Traver Schult,413,526,312
Hortense Fittes,253,323,188
Maddy Riordan,427,435,124
Jory MacGragh,124,443,305
Janeczka Kedwell,40,445,304
Bentley Cawood,49,570,369
Alica Connold,286,455,125
Angeli Simes,236,510,353
Law Gabe,277,455,116
Ferd McLay,472,532,214
Giacobo Orknay,71,319,193
Gavrielle Henaughan,93,534,257
Maximo Rands,292,375,206
Nicol MacNelly,384,510,400
Kriste Kadd,157,536,336
Nick Ellinor,285,291,204
Erna Jenkerson,451,377,337
Lori Coules,328,477,322
Lesly Bowling,368,515,155
Omero Kuschel,145,510,118
Booth Braisby,483,438,321
Bambie Eslinger,141,419,195
Paulie O'Dunneen,19,509,253
Antonio Sporton,8,407,310
Wilmette Gircke,469,586,330
Berthe Mitchinson,40,528,268
Stanfield McVeagh,123,390,400
Madelle Ginnaly,119,260,211
Irwin Lightwood,205,375,155
Tiff Everingham,229,316,386
Ellary Brenard,171,581,261
Joelynn MacKenny,212,294,279
Maggi Waite,28,565,213
Augusta Cullin,34,533,156
Derrik Cozby,424,559,188
Robbert Gumme,141,329,250
Beverlee Corey,72,557,174
Goober Aveling,402,412,317
Livy Andrey,496,250,218
Ximenez Grunwall,495,251,251
Zaneta Creavin,190,257,255
Nita Lascell,189,386,172
Ag Melbury,366,393,235
Tracie Schmuhl,291,408,299
Cathlene Kerford,250,484,305
Arv Shewsmith,304,320,398
Freddi Labusch,268,305,353
Josefa Realff,232,385,173
Ramsay Dyment,290,506,233
Karlen MacFarlane,435,319,212
Teressa Thurlbourne,499,572,238
Carlota Martinek,352,576,385
Kylie Fassmann,294,555,374
Ruddy Breed,260,360,189
Saudra Albury,3,591,258
Myrle Handaside,99,530,245
Karisa Dudderidge,241,284,194
Alexi Dillestone,366,418,310
Korrie Geibel,110,313,173
Cesaro Allsobrook,352,508,214
Jere Sandercroft,116,500,339
Kelsey Eberz,241,550,230
Jimmy Rhyme,60,266,140
Abe Depport,331,344,264
Gianni Coales,431,572,225
Daniella Klass,13,466,271
Edithe Iannuzzelli,21,501,155
Ezra Pace,157,432,168
Ashia Gainfort,370,543,364
Devan Hellier,364,437,211
Eugen Risely,359,378,206
Olivero McKinty,254,286,242
Cullie Goves,37,499,347
Cal Arnaud,48,439,334
Jandy Gyppes,405,569,221
Cara Jakeway,86,557,275
Wilmar Moston,146,278,239
Elfrieda Kaine,366,540,107
Agna Ben,101,565,394
Husein Sansbury,289,508,191
Desmond Fairclough,111,588,353
Elisa Lackie,267,487,362
Leia Biggans,406,300,397
Claudia Neggrini,37,406,352
Siana Matheson,368,491,109
Bernie Barmby,241,559,314
Isadora Espinal,202,440,255
Julius Darell,126,407,176
Isis Dymott,405,439,100
Rhonda Sambell,463,564,307
Darnell Mowne,50,383,278
Hall Silmon,269,530,256
Jasmin Crosio,195,276,218
Arny Aim,36,521,295
Cyndia Lanphier,165,538,120
Milli Ondrich,338,577,398
Graig Skitt,360,570,352
Laurena Margeram,488,322,309
Sanson Riddich,225,440,152
Stinky Elmer,250,417,119
Dasie Keyte,118,344,304
Hadley Bereford,496,307,332
Rianon Nellis,491,358,300
Zacherie MacCleod,28,275,140
Urbain Candie,62,511,240
Tyler Hallgalley,394,324,274
Haze Sporton,265,409,264
Frederick Lerner,235,599,398
Sonny Francisco,418,422,100
Agnese Van Oord,112,482,108
Russ Pochin,491,285,150
Brandy Letessier,398,296,392
Ashien Vicary,75,494,384
Kelly Zimmerman,74,435,250
Mack Stive,84,558,371
Forbes Day,152,525,161
Maryl Posten,451,598,122
Michaela Reddoch,18,343,167
Natka Kineton,340,256,358
Alva Sapir,184,541,235
Giorgio Eades,146,403,129
Egan Trett,26,482,185
Maddi Diviney,162,319,311
Sherry Blaw,160,353,377
Cyrillus Bowmen,227,294,298
Kiele Okroy,35,467,380
Rod Jannequin,29,519,116
Dunstan MacAlroy,471,548,335
Joell Mussolini,381,533,320
Audra Shorrock,199,254,214
Gene Amiranda,236,272,337
Jamesy Brash,50,525,285
Archibold Munt,280,343,311
Ranice Drinan,212,283,395
Zelig Tinham,258,498,208
Lotte Harbin,241,385,229
Ariel Mussetti,334,565,126
Beckie Confort,46,470,157
Ronald McCorrie,332,471,387
Stavro Peter,411,314,294
Melosa Shew,25,483,182
Ricki Fetteplace,185,297,251
Lynnelle Allcock,8,328,380
Jonas Farnon,488,545,128
Desmund Athowe,75,380,387
Leanor Mellsop,83,422,261
Mimi Gunson,276,277,129
Temple Fehely,414,449,366
Abbye Heningam,263,399,171
Cristy Mulles,484,354,336
Scottie Rysdale,168,257,160
Quill Boik,68,370,372
Tuesday Ablott,473,413,247
Ilyssa Ruddell,102,512,356
Philly Kirkebye,391,564,247
Augie Iban,232,436,150
Josephine Buddles,490,557,339
Cherey Norcross,413,343,264
Tate Gariff,458,359,376
Peg Perazzo,438,487,278
Putnam Baddow,318,394,396
Diana Rozalski,150,529,127
Elsie Richardot,35,252,236
Gale Stubbin,413,355,254
Adolf Durbyn,409,396,320
Ellissa Augur,147,252,206
Lurette Pregal,246,596,179
Pamelina Thaw,417,567,294
Dione Cornill,262,434,227
Lorraine Mattosoff,396,288,282
Brewster Questier,182,397,369
Abigail Thomassin,279,536,222
Quintus Geffe,80,597,177
Laverne McKeefry,19,441,161
Renato Lung,156,544,271
Elmo Giffkins,258,561,232
Massimiliano Cassar,160,335,265
Sherman Gioan,159,293,211
Nan Sergant,42,267,100
Zitella Ikin,373,452,128
Bud Sachno,271,271,326
Curran Schout,30,407,312
Octavia Drinkhall,106,333,340
Lilas Giampietro,428,594,259
Norine Coulman,26,520,181
Arthur Lesmonde,151,574,324
Dru Doge,310,448,187
Inna Itzhaki,376,351,210
Mylo Mallen,223,502,167
Gwyn Uzzell,243,403,313
Bjorn Richichi,173,477,155
Pru Zecchetti,13,519,210
Lee Lusgdin,79,255,340
Win Quested,2,358,344
Benetta Merton,9,598,366
Eulalie Belliveau,19,266,338
Suzi Kobsch,321,378,218
Teddy Points,271,346,329
Monah Booy,418,576,371
Tore Loughan,152,535,276
Shellysheldon Stellin,355,577,235
Hamil Waring,80,540,203
Marten Mossom,187,475,239
Birch Fairman,121,527,223
Pattin Caizley,57,475,385
Rustin Alleyne,263,334,282
Teressa Ailward,143,550,195
Kermy Byrcher,294,388,213
Marv Longmead,79,478,292
Tatum Colmore,36,531,133
Samson Liveley,495,458,156
Mela McTeggart,295,332,321
Archibald Laurenson,199,465,103
Becka Merchant,200,344,266
Dynah Malkinson,56,437,379
Yuma Wyman,237,268,264
Pier McCullough,263,413,366
Arel Coneron,4,443,191
Christoper Gayle,188,259,185
Henrieta Spivie,295,413,321
Krista Mathers,162,346,387
Stoddard Stibbs,488,303,339
Sigismundo Toone,228,511,272
Kennan Synder,17,406,121
Heidi Penrice,242,530,176
Hadleigh Guillford,115,471,340
Free Skin,167,399,313
Clarke Georg,401,512,179
Row de Savery,187,548,130
Berky Sleite,388,560,168
Jarred Buyers,26,584,101
Elana Rennison,53,327,226
Pierce Bonsul,44,516,256
Alexis Balnaves,375,520,330
Eric Westfield,214,255,340
Horatia Benfield,70,596,353
Ryann Venney,471,435,274
Torry Rudiger,130,555,201
Nanni Barbour,144,383,358
Delora Stango,101,407,145
Lianne Obern,115,395,169
Hastings Spadollini,191,503,235
Jarrad Burril,236,599,259
Buck Beardon,83,545,215
Cathie MacBarron,89,548,225
Mozelle Ryce,454,383,180
Deva Russ,215,416,382
Mariejeanne Brumfield,455,546,220
Ignazio Sebert,106,325,299
Welbie Sabin,204,297,303
Hubert Shuxsmith,443,439,227
Dodi Harnett,57,269,127
Way Durker,256,417,159
Britta Habbeshaw,291,286,142
Orrin Drew,450,372,261
Alwin Morse,264,448,264
Jerry Zamora,93,431,295
Rebecka Rendle,67,485,114
Jorry Stapele,172,455,384
Francesco Macguire,48,311,400
Vivianne Barcroft,91,417,150
Chiquia Careswell,211,567,351
Sid Derks,125,478,276
Latia Sawforde,165,598,393
Tuesday Berge,204,515,393
Aylmer Robun,50,370,400
Ainsley Crookston,460,555,320
Esme Mordue,134,414,328
Virgilio McNiven,229,295,262
Tudor Veare,391,520,383
Dyana Cassedy,97,422,208
Blithe Baldocci,248,558,201
Gloriane Gres,317,580,395
Ximenes Keveren,361,295,149
Chloette Feldhuhn,92,493,156
Pearle Sculley,344,398,181
Florance Hurton,115,365,320
Giusto Gownge,455,295,370
Genovera Broadbere,428,433,112
Heddie Conradie,227,592,293
Annabelle Revel,150,529,372
Bennie McMylor,370,359,163
Lemmie Ickeringill,455,427,399
Maurice Medler,486,421,295
Shirl Ariss,13,559,123
Sula Danter,333,473,101
Lorianna Alfonsini,21,311,220
Estrella Tailby,414,400,168
Juana Mellanby,203,462,179
Shae Bunclark,341,428,269
Dale Ortell,26,551,286
Rodolph Bridgnell,460,287,130
Lilian Beisley,176,509,368
Ade Worland,418,464,184
Meredithe Peedell,52,260,266
Ingemar Pressland,416,278,325
Tucky Baulk,430,314,276
Mickie O'Logan,314,494,385
Romona MacKellen,259,278,307
Ealasaid Beveredge,183,592,219
Kacie McTeer,181,405,159
Lenka Hulks,128,526,301
Fredra Prickett,158,506,156
Gabriel Messer,140,341,211
Armstrong Jurkowski,140,515,313
Noe Bulbrook,294,311,124
Dina Chaffyn,201,302,131
Ninetta Elnough,320,428,258
Thorsten Eat,462,299,263
Joelle Jesper,421,558,289
Jacklyn Rubanenko,108,599,229
Julio Dunleavy,325,395,225
Tammi Ansell,198,371,231
Nance Jerche,484,363,121
Clareta Crewe,168,487,298
Doti Moth,4,317,287
Crosby Guilloton,351,575,340
Bealle Lyfield,59,463,195
Andree Riddles,335,439,260
Phylys Colyer,379,294,234
Nettle Ropp,476,345,213
Elva Crosher,309,393,155
Cate Sibbs,457,455,177
Celestyna Challin,200,418,346
Vernor Conigsby,180,474,323
Minnie Ellse,368,487,244
Glenine Divis,340,438,223
Ruby Sumshon,262,387,150
Ermengarde Prozescky,345,404,399
Lacy Rosander,15,269,320
Della Meiklejohn,80,561,273
Emmett Longmaid,367,575,358
Caspar Flute,275,310,281
Myranda Wellstead,3,563,130
Merrili Douty,273,406,179
Chandra Stollenwerck,244,433,153
Neddy Langthorn,461,574,234
Marney Swindle,152,316,224
Jacklin Shropsheir,103,573,171
Dorella Edling,267,395,284
Mimi Oldroyde,272,446,174
Taite Klima,417,462,104
Thomasin Oger,253,396,137
Binky Alcock,192,281,264
Livy Wiltshier,491,315,225
Sharleen Hendrichs,332,389,114
Kenny Runnalls,279,460,354
Pietra Reiglar,158,479,257
Kaylil Dreigher,32,314,258
Rachelle Corradini,138,419,255
Rafi Peter,321,298,223
Stanislaus Birrell,44,502,352
Royal Smaling,326,369,270
Ernesta Mizzi,327,581,399
Fitz Grivori,240,450,183
Fifi Kitchener,367,256,115
Salomo Hinze,433,390,318
Frederich Forre,352,436,399
Cy Elcoate,462,276,340
Zebadiah Kalewe,175,393,176
Elyssa Bread,341,533,325
Kelli Tandey,241,596,127
Monika Groneway,494,524,212
Marlowe Chatband,470,588,136
Cayla Athow,87,522,154
Lorne Reaveley,70,481,226
Haskell Durbin,3,381,280
Augusta Gimber,488,584,229
Binnie Pasby,125,591,236
Rianon Swansbury,83,593,331
Anton Firks,38,302,317
Dallas Beekman,114,337,289
Tersina Tregenna,51,553,241
Sullivan Gettings,145,371,117
Sascha Piperley,291,270,176
Kristyn Guislin,285,316,274
Chris Donalson,270,301,126
Ugo Rops,372,275,274
Giustina Sesser,201,367,130
Salmon Curragh,17,438,266
Edna McCarrick,466,362,329
Galvin Brettelle,62,332,146
Ximenez De Simone,36,316,132
Randene Farryn,428,354,153
Basilius Mathivon,260,492,299
Wilone Mauchlen,443,350,345
Joletta Dummigan,378,323,242
Alecia Ellacombe,197,534,192
Shawnee Kenwin,365,275,165
Olympia Priditt,152,476,361
Tabitha Bottrill,349,421,382
Kenneth Denzilow,319,337,330
Maxwell Jewel,471,346,344
Abigail Boyen,367,295,368
Drud Grut,106,337,386
Anna-diane Ewell,233,473,335
Helaina Fairhurst,326,283,305
Timmi Warder,267,338,282
Arly Merrick,239,477,376
Olympie Tombs,248,569,246
Cello Benford,44,435,374
Alessandro Natwick,463,573,274
Dehlia Rickersy,254,483,196
Hayward Koche,31,350,130
Yasmin Arnopp,176,486,156
Ranna Bellas,55,281,135
Renata Lafond,305,568,156
Brittany Slimming,462,440,303
Britta Gress,201,462,273
Lamond Hutchin,482,494,149
Halette Stacey,147,298,295
Norine Ashington,143,376,388
Art Sneezem,135,383,263
Renaldo Bernardotti,59,282,328
Lanna Jephcott,475,427,304
Alphonso Ruffli,448,494,101
Ree Wein,318,533,180
Gabriell Tondeur,42,597,129
Vinnie Verrier,120,338,129
Duke Jennions,445,565,373
Valencia Attawell,303,285,116
Fitz Dowey,127,464,296
Kirsti Ellams,295,257,384
Persis Cotmore,84,404,258
Bartholomeo Balchen,471,567,238
Celinda Ead,220,493,363
Royce Barbier,31,528,335
Patric Ineson,336,477,321
Christoforo Bogart,170,498,385
Artemis Starkings,465,494,153
Ki Syrad,87,535,318
Hillel Standring,399,525,246
Sarina Knivett,329,455,234
Sonny Dubarry,12,339,164
Ty Cardenoza,13,480,266
Nicolle Marfell,304,542,229
Luther Bastick,322,299,279
Allison Bernadot,281,424,315
Constantia Broady,186,424,150
Bobby Alfonsetti,264,516,226
Vernen Barmadier,11,495,380
Noreen Vany,485,522,102
Sosanna Gregoli,285,290,273
Prent Narramore,3,395,331
Onfre Waistall,118,507,220
Theda Griffoen,472,310,169
Boote Shanahan,350,508,330
Aleda Liepmann,256,467,132
Gonzalo Thunder,267,506,237
Burt Glenwright,106,555,283
Gussi Tansill,429,435,192
Pepi Nevison,227,480,198
Codi Kain,433,408,262
Britt Ghest,39,352,199
Ted Lorentzen,463,369,284
Dora Bibbie,336,397,339
Merry Duignan,268,419,339
Maisey Itzchaki,250,340,339
Layla Haswall,407,398,143
Cody Casine,105,578,344
Corbie Stuchbury,157,359,156
Karleen Pelman,314,491,181
Daisi Paal,260,322,142
Wilow Christophers,11,472,235
Sibella Longfellow,161,271,134
Patsy Tradewell,476,374,216
Revkah Zanazzi,203,311,291
Bordy Charlot,463,393,344
Maighdiln Pionter,299,392,330
Darren Bratten,423,571,212
Pia Durtnal,315,509,155
Brandise Szymczyk,491,331,218
Elmo Antoshin,223,570,105
Ondrea Belham,405,538,156
Jacquenetta Hadigate,425,413,282
Uri Dalgety,458,585,355
Anthiathia Giorgietto,358,498,139
Adolph Rawne,98,548,139
Heywood Torres,211,255,307
Sherry Lindholm,497,483,259
Lou Wogden,205,436,109
Gris Sandhill,403,537,327
Damien Blackstock,298,585,367
Launce Cantrill,417,497,325
Halimeda Coultard,461,370,113
